"int64_field_0","string_field_1","string_field_2","string_field_3","date_field_4","_PARTITIONTIME"
"1","name01","name01@gmail.com","Data01","1999-01-31","2023-01-01T06:30:00.000+06:30"
"2","name02","name02@gmail.com","Data02","1999-02-01","2023-01-01T06:30:00.000+06:30"
"3","name03","name03@gmail.com","Data03","1999-02-02","2023-01-01T06:30:00.000+06:30"
"4","name04","name04@gmail.com","Data04","1999-02-03","2023-01-01T06:30:00.000+06:30"
"5","name05","name05@gmail.com","Data05","1999-02-04","2023-01-01T06:30:00.000+06:30"
"6","name06","name06@gmail.com","Data06","1999-02-05","2023-01-01T06:30:00.000+06:30"
"7","name07","name07@gmail.com","Data07","1999-02-06","2023-01-01T06:30:00.000+06:30"
"8","name08","name08@gmail.com","Data08","1999-02-07","2023-01-01T06:30:00.000+06:30"
"9","name09","name09@gmail.com","Data09","1999-02-08","2023-01-01T06:30:00.000+06:30"
"10","name10","name10@gmail.com","Data10","1999-02-09","2023-01-01T06:30:00.000+06:30"
